chrom	start	end	strand	circRNA_ID	transcript	gene_symbol
1	3996	4276	+	ath_circ_000001	NA	AT1G01010
1	23940	24076	+	ath_circ_000002	NA	AT1G01040
1	27169	27406	+	ath_circ_000003	NA	AT1G01040
1	31273	31420	-	ath_circ_000004	NA	AT1G01050
1	31693	31813	-	ath_circ_000005	NA	AT1G01050
1	36810	36921	-	ath_circ_000006	NA	AT1G01060
1	36810	37203	-	ath_circ_000007	NA	AT1G01060
1	37373	37777	-	ath_circ_000008	NA	AT1G01060
1	37569	37777	-	ath_circ_000009	NA	AT1G01060
1	48174	48397	-	ath_circ_000010	NA	AT1G01090
1	50699	50882	-	ath_circ_000011	NA	AT1G01100
1	52938	53183	+	ath_circ_000012	NA	AT1G01110
1	64901	65456	-	ath_circ_000013	NA	AT1G01140
1	65563	66160	-	ath_circ_000014	NA	AT1G01140
1	65739	66160	-	ath_circ_000015	NA	AT1G01140
1	66387	66449	-	ath_circ_000016	NA	AT1G01140
1	91836	92058	+	ath_circ_000017	NA	AT1G01220
1	110451	110596	+	ath_circ_000018	NA	AT1G01260
1	117738	118315	+	ath_circ_000019	NA	AT1G01300
1	121669	121878	-	ath_circ_000020	NA	AT1G01320
1	122145	122246	-	ath_circ_000021	NA	AT1G01320
1	122452	122547	-	ath_circ_000022	NA	AT1G01320
1	122605	122691	-	ath_circ_000023	NA	AT1G01320
1	123579	123897	-	ath_circ_000024	NA	AT1G01320
1	123579	124123	-	ath_circ_000025	NA	AT1G01320
1	123579	124394	-	ath_circ_000026	NA	AT1G01320
1	123579	124632	-	ath_circ_000027	NA	AT1G01320
1	123579	127573	-	ath_circ_000028	NA	AT1G01320
1	123579	130149	-	ath_circ_000029	NA	AT1G01320
1	123992	125022	-	ath_circ_000030	NA	AT1G01320
1	125329	125655	-	ath_circ_000031	NA	AT1G01320
1	125329	125843	-	ath_circ_000032	NA	AT1G01320
1	125742	127573	-	ath_circ_000033	NA	AT1G01320
1	126686	126840	-	ath_circ_000034	NA	AT1G01320
1	126686	127573	-	ath_circ_000035	NA	AT1G01320
1	127651	127935	-	ath_circ_000036	NA	AT1G01320
1	128028	128312	-	ath_circ_000037	NA	AT1G01320
1	128028	129060	-	ath_circ_000038	NA	AT1G01320
1	128479	130149	-	ath_circ_000039	NA	AT1G01320
1	128968	129060	-	ath_circ_000040	NA	AT1G01320
1	128968	129914	-	ath_circ_000041	NA	AT1G01320
1	128968	130149	-	ath_circ_000042	NA	AT1G01320
1	157829	158112	-	ath_circ_000043	NA	AT1G01430
1	162487	162569	-	ath_circ_000044	NA	AT1G01440
1	172418	172705	-	ath_circ_000045	NA	AT1G01470
1	180583	180694	-	ath_circ_000046	NA	AT1G01490
1	191339	191690	+	ath_circ_000047	NA	AT1G01520
1	191341	191692	+	ath_circ_000048	NA	AT1G01520
1	191341	191889	+	ath_circ_000049	NA	AT1G01520
1	191341	192026	+	ath_circ_000050	NA	AT1G01520
1	201172	201327	+	ath_circ_000051	NA	AT1G01550
1	203783	204172	+	ath_circ_000052	NA	AT1G01560
1	204026	204173	+	ath_circ_000053	NA	AT1G01560
1	210620	211028	+	ath_circ_000054	NA	AT1G01580
1	211474	215960	NA	ath_circ_000055	NA	NA
1	226396	226691	-	ath_circ_000056	NA	AT1G01620
1	229194	229347	+	ath_circ_000057	NA	AT1G01630
1	233387	233470	-	ath_circ_000058	NA	AT1G01650
1	234250	237023	-	ath_circ_000059	NA	AT1G01650
1	234644	234934	-	ath_circ_000060	NA	AT1G01650
1	234935	237023	-	ath_circ_000061	NA	AT1G01650
1	235718	236027	-	ath_circ_000062	NA	AT1G01650
1	236429	237023	-	ath_circ_000063	NA	AT1G01650
1	236673	237023	-	ath_circ_000064	NA	AT1G01650
1	250669	250863	+	ath_circ_000065	NA	AT1G01690
1	250669	251066	+	ath_circ_000066	NA	AT1G01690
1	250669	251184	+	ath_circ_000067	NA	AT1G01690
1	250669	251440	+	ath_circ_000068	NA	AT1G01690
1	251539	251594	+	ath_circ_000069	NA	AT1G01690
1	260118	260417	-	ath_circ_000070	NA	AT1G01700
1	263047	263572	+	ath_circ_000071	NA	AT1G01710
1	263232	263572	+	ath_circ_000072	NA	AT1G01710
1	263645	265077	+	ath_circ_000073	NA	AT1G01710
1	264280	265077	+	ath_circ_000074	NA	AT1G01710
1	268717	268994	+	ath_circ_000075	NA	AT1G01720
1	273429	273788	-	ath_circ_000076	NA	AT1G01740
1	275632	275897	+	ath_circ_000077	NA	AT1G01750
1	276405	276793	-	ath_circ_000078	NA	AT1G01760
1	276405	277401	-	ath_circ_000079	NA	AT1G01760
1	289539	289592	+	ath_circ_000080	NA	AT1G01790
1	294536	294634	+	ath_circ_000081	NA	AT1G01800
1	296362	297175	-	ath_circ_000082	NA	AT1G01820
